NORAD_CAT_ID,TIMESTAMP_UTC,X_KM,Y_KM,Z_KM,VX_KMS,VY_KMS,VZ_KMS
900,2025-07-21 00:00:00,1641.678237589024,3443.926081849594,-6297.277368121604,2.756616326830009,5.659684585371689,3.7949442656589985
900,2025-07-21 00:05:00,2383.390417429647,4963.4947769956425,-4895.121868866861,2.151169265725582,4.3950481221691025,5.482652193547379
900,2025-07-21 00:10:00,2913.1903371482317,6041.748783769617,-3056.6822857726397,1.354405144660461,2.7395305125650786,6.681774480719195
900,2025-07-21 00:15:00,3183.939565033262,6582.750243995716,-945.7822803395663,0.43708612122043033,0.840162609125677,7.285424819799057
900,2025-07-21 00:20:00,3171.549942872873,6538.366122117925,1249.4276042578024,-0.5190346007212604,-1.133780047112757,7.239642898331395
900,2025-07-21 00:25:00,2877.184707837645,5912.669966204474,3333.2969728694534,-1.428672738043809,-3.006227638418905,6.548801470274758
900,2025-07-21 00:30:00,2327.1291486624946,4761.525077831805,5120.244892339845,-2.210922381819172,-4.610644050733661,5.275068322424051
900,2025-07-21 00:35:00,1570.3559461220552,3187.4162855496015,6451.277878189615,-2.7965549764694297,-5.805044831540365,3.5320599179412517
900,2025-07-21 00:40:00,674.1010289699593,1330.1958187361452,7207.890308095719,-3.1338824512400554,-6.484011987827813,1.4740018172272127
900,2025-07-21 00:45:00,-282.05588302896825,-645.2270659568619,7322.263146665815,-3.1928377205796945,-6.587004629165256,-0.7178326954577054
900,2025-07-21 00:50:00,-1213.0727117277445,-2563.1463357582206,6783.165339245164,-2.967329178525006,-6.103094073234391,-2.850031165616438
900,2025-07-21 00:55:00,-2035.7925314238948,-4252.242798256919,5637.26256416478,-2.476006936926777,-5.072413015374181,-4.73268612813498
900,2025-07-21 01:00:00,-2676.2742424643516,-5560.692312733994,3985.6501534510717,-1.7613503945946494,-3.5841339751977643,-6.195541009166183
902,2025-07-20 00:00:00,1638.5467515146986,4120.711961010571,-6000.738082814796,2.212091788535912,5.43063883556727,4.3405573499207195
902,2025-07-20 00:05:00,2222.558642037287,5550.250336615643,-4459.851888907158,1.6530456426937172,4.030390630675067,5.858580217415364
902,2025-07-20 00:10:00,2615.966099442996,6503.805995607063,-2535.706607628937,0.9503759963103001,2.2798550038267544,6.8767597344302684
902,2025-07-20 00:15:00,2784.3550394380522,6897.922450165428,-393.03316811254285,0.16370184751251277,0.3276036524451409,7.304261247956046
902,2025-07-20 00:20:00,2712.558355876346,6697.007218012741,1783.54150525144,-0.6391916753013367,-1.6581059381067242,7.100546187475169
902,2025-07-20 00:25:00,2406.227843895093,5917.054474681295,3805.478616827427,-1.3883607985425481,-3.5042585307586296,6.2804940428883045
902,2025-07-20 00:30:00,1891.5098419943329,4624.6652300292635,5497.01960357491,-2.018197659740826,-5.0491551423720855,4.913853515187777
902,2025-07-20 00:35:00,1212.8116961925416,2931.351576265067,6710.838633730688,-2.4735110135488156,-6.157401546809124,3.1189384694962237
902,2025-07-20 00:40:00,428.9029591217748,983.7456982518567,7341.067566618502,-2.7144405400911182,-6.731959802109294,1.0516782453942937
902,2025-07-20 00:45:00,-392.22925854237855,-1049.2357824374826,7332.544819897692,-2.7198141425526368,-6.722313424919104,-1.108301383970438
902,2025-07-20 00:50:00,-1179.2870780485644,-2991.0676041624065,6685.633148430574,-2.488885225884344,-6.1286058392842975,-3.173086996773397
902,2025-07-20 00:55:00,-1863.851987530402,-4672.9433001036805,5456.317972974886,-2.041494006565175,-5.001871167964638,-4.962424467456389
902,2025-07-20 01:00:00,-2386.3833089549003,-5948.577599951303,3751.532661542746,-1.4166069936629628,-3.440251405031661,-6.319479495591796
1361,2025-07-20 00:00:00,5762.417104417758,6976.458609717622,1501.1482789536828,-4.003710359453723,4.03631270365598,-3.335758435695894
1361,2025-07-20 00:05:00,4437.104366475274,8016.379980834268,473.3396822406304,-4.797345182080304,2.8697321936549938,-3.489644975140796
1361,2025-07-20 00:10:00,2906.305137573416,8685.072609134817,-576.4289503826434,-5.368365338745352,1.5710688916660054,-3.4816249337696448
