NORAD_CAT_ID,TIMESTAMP_UTC,X_KM,Y_KM,Z_KM,VX_KMS,VY_KMS,VZ_KMS
900,2025-07-22 00:00:00,-2721.7410078030134,-5592.281627632513,-3906.4014279792773,1.685180749928638,3.536713613901316,-6.246141273511451
900,2025-07-22 00:05:00,-2101.6232985671845,-4296.2111076714855,-5576.342760033237,2.417414301413176,5.037884429209203,-4.803207375579456
900,2025-07-22 00:10:00,-1293.1837465867886,-2615.1654380017753,-6745.522836885738,2.931373031720271,6.0842386026777975,-2.9334161015167886
900,2025-07-22 00:15:00,-369.168607000397,-700.3930219396511,-7310.587873836799,3.182386125106442,6.584888042139158,-0.8062315637538364
900,2025-07-22 00:20:00,587.7795021042102,1276.8655147363595,-7222.503494459061,3.149495839061313,6.49813373364616,1.3884082566375626
900,2025-07-22 00:25:00,1492.4490350579008,3140.554479130054,-6490.241384279132,2.8365711850117092,5.833628728998097,3.456425548240159
900,2025-07-22 00:30:00,2264.4552351229877,4725.080269715545,-5179.631248883162,2.2716857222611266,4.650957307806096,5.215441485923494
900,2025-07-22 00:35:00,2835.2069451933444,5889.662474019229,-3407.5683938883867,1.5048692466294669,3.054859609493291,6.509831523053
900,2025-07-22 00:40:00,3153.9404110870055,6530.719559394122,-1331.8883347898254,0.6041154216612546,1.1868631552984323,7.224376447568332
900,2025-07-22 00:45:00,3192.2824199915367,6591.182981046139,862.4815146577815,-0.3504045142584012,-0.7867703003769274,7.2951546996583705
900,2025-07-22 00:50:00,2946.8442750014506,6065.718568871326,2980.0016795779834,-1.273581860477577,-2.6900647390718233,6.715933692005683
900,2025-07-22 00:55:00,2439.523741292293,5001.2011346294485,4832.066665670584,-2.0832511132801304,-4.353624599873196,5.538769375163793
900,2025-07-22 01:00:00,1715.4796811594163,3492.3845652508144,6253.830982846949,-2.707659725744428,-5.630029828128654,3.868691254619208
902,2025-07-21 00:00:00,-1916.4102543772328,-4806.918348669322,5320.925445974679,-1.9901099540165228,-4.878625484383054,-5.10339238076984
902,2025-07-21 00:05:00,-2421.4793161505954,-6040.326515295589,3580.3950110619758,-1.352447068191922,-3.284097374916093,-6.415050974234204
902,2025-07-21 00:10:00,-2716.1555677015704,-6748.9141445347705,1528.0083688691197,-0.5978858859917477,-1.405748868416185,-7.167200857097684
902,2025-07-21 00:15:00,-2775.155502221791,-6871.909076463832,-657.3353279768525,0.20709319098246007,0.59094828740158,-7.295269392451982
902,2025-07-21 00:20:00,-2593.9259736627882,-6400.040933016316,-2785.732230427732,0.9918911483898945,2.5309094272626567,-6.790965403008528
902,2025-07-21 00:25:00,-2188.867867610003,-5375.915227377324,-4673.299619900488,1.6885123083142142,4.246097637842784,-5.702157191855306
902,2025-07-21 00:30:00,-1595.6077765892114,-3889.5591088756883,-6158.245120392883,2.2377015247997574,5.590672076661121,-4.12680371070742
902,2025-07-21 00:35:00,-865.6176608287689,-2069.898974817835,-7114.404047962456,2.5937390281099946,6.4527623760240145,-2.202480288977939
902,2025-07-21 00:40:00,-61.64052563904794,-73.31591753485628,-7461.238854628746,2.727603791747279,6.76217455515043,-0.09358524198802057
902,2025-07-21 00:45:00,747.6033090963466,1929.5401906715729,-7169.8779706134765,2.6286484026933925,6.494400748238525,2.022081092199222
902,2025-07-21 00:50:00,1493.0300195638347,3767.687599364218,-6265.141249792363,2.3050967131240507,5.67171243025648,3.9665956422932234
902,2025-07-21 00:55:00,2110.8046850178816,5283.704252565578,-4823.605177531931,1.783541920726289,4.361777557544746,5.575036411805101
902,2025-07-21 01:00:00,2547.6429287458445,6346.807504837534,-2967.739054210588,1.1073478004853772,2.673559791898859,6.708509377830884
1361,2025-07-21 00:00:00,8007.1953286664775,2190.1707752040006,3879.439904423817,-0.660154207776852,6.2125358250537985,-2.119854355139578
1361,2025-07-21 00:05:00,7624.759589539291,3988.633170294926,3158.1985564325387,-1.8793457205815356,5.730649525728192,-2.6696177641310843
1361,2025-07-21 00:10:00,6888.418605536482,5601.974610258786,2290.1347463739176,-3.0103770922224777,4.98326230695322,-3.094890603730004
1361,2025-07-21 00:15:00,5832.599265383958,6955.515088568196,1315.6859080512393,-4.000969821385816,4.005427547350302,-3.376128194451707
1361,2025-07-21 00:20:00,4506.4737337215265,7986.723886688175,280.16264125925693,-4.8054777130695685,2.842764251080583,-3.5005090025672354
