NORAD_CAT_ID,OBJECT_DESIGNATOR,EPOCH,INCLINATION_RAD,RAAN_RAD,ECCENTRICITY,ARG_OF_PERIGEE_RAD,MEAN_ANOMALY_RAD,MEAN_MOTION_REV_PER_DAY,REV_NUM_AT_EPOCH,BSTAR,LINE1,LINE2
900,64063C,2025-07-22,1.5745278407356607,1.120382697391224,0.0023775,3.612599422837747,3.92132722356452,0.06004460030453861,2606,0.0005453200000000001,1 00900U 64063C   25203.48063921  .00000540  00000+0  54532-3 0  9993,2 00900  90.2138  64.1932 0023775 206.9867 224.6755 13.76120872 26063
902,64063E,2025-07-21,1.5747791681479477,1.1876808480188732,0.0020472,1.8272253364856594,4.6832489631933925,0.059029957419948376,81160,2.9914000000000002e-05,1 00902U 64063E   25202.86267559  .00000029  00000+0  29914-4 0  9998,2 00902  90.2282  68.0491 0020472 104.6923 268.3304 13.52866970811603
1361,65034C,2025-07-21,0.5609034430304256,4.215923093337895,0.0012802,0.5512308283158731,5.734160575038234,0.0431667567143454,17716,0.0035593000000000005,1 01361U 65034C   25202.77221781  .00000036  00000+0  35593-2 0  9990,2 01361  32.1374 241.5546 0012802  31.5832 328.5432  9.89309190177162
1512,65065E,2025-07-21,1.570363485140402,3.7151479883679257,0.0071673,1.680804429548099,1.3512216895892462,0.05818787148604493,91601,7.1595e-05,1 01512U 65065E   25202.80394201  .00000046  00000+0  71595-4 0  9999,2 01512  89.9752 212.8623 0071673  96.3030  77.4193 13.33567782916013
1520,65065H,2025-07-21,1.569447187283105,2.1894858760296025,0.0068463,5.5461554533426565,1.672899833365817,0.05830297337585331,91858,9.7917e-05,1 01520U 65065H   25202.77475807  .00000059  00000+0  97917-4 0  9996,2 01520  89.9227 125.4483 0068463 317.7713  95.8501 13.36205723918581
2826,67053A,2025-07-21,1.2203272316774272,2.1574416309629867,0.0002887,3.3096416806180673,2.975446035446193,0.06418614348654242,1755,0.00089886,1 02826U 67053A   25202.95902923  .00005458  00000+0  89886-3 0  9992,2 02826  69.9196 123.6123 0002887 189.6285 170.4805 14.71038050 17554
2866,67066E,2025-07-22,0.032641147670797954,1.891341751886923,0.0051848,3.3842579967993287,1.8654602644090992,0.00477460132883849,12742,0.0,1 02866U 67066E   25203.47089063 -.00000093  00000+0  00000+0 0  9997,2 02866   1.8702 108.3659 0051848 193.9037 106.8830  1.09425802127425
2872,67053F,2025-07-22,1.2213063613877961,6.119323325026847,0.0007218,3.5866114702755514,2.6978863245015345,0.06106407783842333,96450,8.2453e-05,1 02872U 67053F   25203.53777004  .00000067  00000+0  82453-4 0  9993,2 02872  69.9757 350.6114 0007218 205.4977 154.5775 13.99485576964501
2874,67053H,2025-07-21,1.2212766907905122,1.8004711843818384,0.0009989,4.6589627066518915,1.6241562780161192,0.06094499768875119,96066,4.6132000000000005e-05,1 02874U 67053H   25202.92513312  .00000011  00000+0  46132-4 0  9990,2 02874  69.9740 103.1594 0009989 266.9389  93.0573 13.96756460960660
2909,67053J,2025-07-22,1.2203516662869553,0.22376168208118502,0.0008843,3.1664269435164205,3.1187672376322118,0.06675493260592939,3157,0.0025532,1 02909U 67053J   25203.03038676  .00074831  00000+0  25532-2 0  9997,2 02909  69.9210  12.8206 0008843 181.4229 178.6922 15.29910360 31575
5204,71039A,2025-07-21,0.011082840750163993,5.0846345485792925,0.0020477,6.141258623065911,0.06676931586429508,0.004283028734149049,20298,0.0,1 05204U 71039A   25202.84854801 -.00000044  00000+0  00000+0 0  9997,2 05204   0.6350 291.3281 0020477 351.8682   3.8256  0.98159788202986
5398,71067E,2025-07-22,1.5291841867688476,1.2292353921796064,0.0058214,4.307537171104329,1.9670279548996572,0.06271146313978655,82670,0.00016396,1 05398U 71067E   25203.19037979  .00000515  00000+0  16396-3 0  9991,2 05398  87.6158  70.4300 0058214 246.8037 112.7024 14.37240866826707
7530,74089B,2025-07-21,1.7801346079376006,3.624293128826109,0.001252,0.7471789434372765,0.4717101369365075,0.054702557660191414,31913,0.00013355,1 07530U 74089B   25202.94078666 -.00000025  00000+0  13355-3 0  9997,2 07530 101.9942 207.6567 0012520  42.8102  27.0270 12.53690273319136
7646,75010A,2025-07-21,0.8696294984279466,5.732780019599907,0.0205682,0.9034539793315968,5.413260848108052,0.060316141596623615,54883,2.8813000000000003e-06,1 07646U 75010A   25202.85817723 -.00000142  00000+0  28813-5 0  9992,2 07646  49.8261 328.4641 0205682  51.7641 310.1570 13.82344140548835
8820,76039A,2025-07-21,1.9173070151688427,1.1546923798269286,0.0044629,0.22556984318625115,2.430035880185721,0.02786701592279471,89203,0.0,1 08820U 76039A   25202.73354163  .00000024  00000+0  00000+0 0  9990,2 08820 109.8536  66.1590 0044629  12.9242 139.2308  6.38664960892030
13086,82019A,2025-07-22,0.17385748277891114,5.437712910928493,0.0003797,4.794916874065241,1.7995182346102494,0.004284364609158525,2241,0.0,1 13086U 82019A   25203.12277126 -.00000183  00000+0  00000+0 0  9999,2 13086   9.9613 311.5580 0003797 274.7285 103.1048  0.98190404 22413
14129,83058B,2025-07-19,0.46329066862488677,4.81511382416932,0.6066874,0.40246943485138836,6.203217811511711,0.008982756747073922,28863,0.0,1 14129U 83058B   25200.20440279 -.00000044  00000+0  00000+0 0  9995,2 14129  26.5446 275.8857 6066874  23.0598 355.4182  2.05869620288635
14781,84021B,2025-07-21,1.7061815168720968,2.939115261736679,0.0007468,3.2418164405563155,3.0433463246657806,0.06499091633180011,20793,0.00012424000000000002,1 14781U 84021B   25202.85783489  .00001128  00000+0  12424-3 0  9996,2 14781  97.7570 168.3989 0007468 185.7424 174.3709 14.89482085207939
16908,86061A,2025-07-21,0.8728374135931123,1.4479617993687879,0.001147,1.0407956835002825,0.5964627812105581,0.05430210722221874,43961,-1.1878e-05,1 16908U 86061A   25202.91852606 -.00000099  00000+0 -11878-4 0  9991,2 16908  50.0099  82.9621 0011470  59.6332  34.1748 12.44512625439610
19548,88091B,2025-07-22,0.22432716875883119,5.98974310004178,0.0035372,6.005320163615829,0.3053610605996759,0.004375128187980463,12206,0.0,1 19548U 88091B   25203.25892907 -.00000306  00000+0  00000+0 0  9995,2 19548  12.8530 343.1870 0035372 344.0795  17.4959  1.00270552122064
19751,89001C,2025-07-21,1.1301408332391243,1.4575698369010166,0.0023434,3.7844707209278887,5.887686717360664,0.009300687058081224,28432,0.0,1 19751U 89001C   25202.74119487 -.00000027  00000+0  00000+0 0  9991,2 19751  64.7523  83.5126 0023434 216.8342 337.3396  2.13156046284320
