NORAD_CAT_ID,OBJECT_DESIGNATOR,EPOCH,INCLINATION_RAD,RAAN_RAD,ECCENTRICITY,ARG_OF_PERIGEE_RAD,MEAN_ANOMALY_RAD,MEAN_MOTION_REV_PER_DAY,REV_NUM_AT_EPOCH,BSTAR,LINE1,LINE2
900,64063C,2025-07-21,1.5745313313941645,1.1198748065788937,0.0023649,3.68610570961474,4.786644013410789,0.06004453481105843,2588,0.0005016500000000001,1 00900U 64063C   25202.18267987  .00000498  00000+0  50165-3 0  9997,2 00900  90.2140  64.1641 0023649 211.1983 274.2545 13.76119371 25889
902,64063E,2025-07-20,1.5747826588064515,1.1872951302541825,0.0020442,1.8712530121964683,4.617647272598682,0.05902995558735266,81147,1.9962e-05,1 00902U 64063E   25201.90092593  .00000022  00000+0  19962-4 0  9991,2 00902  90.2284  68.0270 0020442 107.2149 264.5717 13.52866928811470
1361,65034C,2025-07-20,0.5609104243474337,4.257770852812963,0.0012816,0.48941650219798993,5.795838765474461,0.04316675488174969,17706,0.0011738,1 01361U 65034C   25201.76243640  .00000017  00000+0  11738-2 0  9990,2 01361  32.1378 243.9523 0012816  28.0415 332.0771  9.89309148177068
1512,65065E,2025-07-20,1.570363485140402,3.7151846402822173,0.007166,1.727340143394024,1.30506994817876,0.05818786956618275,91588,5.5996000000000004e-05,1 01512U 65065E   25201.82854714  .00000038  00000+0  55996-4 0  9998,2 01512  89.9752 212.8644 0071660  98.9693  74.7750 13.33567738915889
1520,65065H,2025-07-20,1.5694489326123569,2.1896132850649983,0.0068547,5.595124156165862,1.1653458695811019,0.05830296827076525,91845,0.00010296,1 01520U 65065H   25201.79581740  .00000062  00000+0  10296-3 0  9999,2 01520  89.9228 125.4556 0068547 320.5770  66.7694 13.36205606918457
2826,67053A,2025-07-20,1.2203219956896714,2.2006053686940583,0.0002942,3.3454156942961952,2.9396475871585372,0.06418562957434418,1740,0.0008997699999999999,1 02826U 67053A   25201.93905695  .00005462  00000+0  89977-3 0  9994,2 02826  69.9193 126.0854 0002942 191.6782 168.4294 14.71026272 17402
2866,67066E,2025-07-20,0.032573079829970174,1.8927624498980464,0.0051857,3.3837535966455023,1.5861430069076827,0.004774616949535296,12740,0.0,1 02866U 67066E   25201.60273565 -.00000104  00000+0  00000+0 0  9995,2 02866   1.8663 108.4473 0051857 193.8748  90.8793  1.09426160127400
2872,67053F,2025-07-20,1.2213011254000399,6.183776588973745,0.0007305,3.617889515800542,2.6665594097574887,0.06106405789803663,96384,8.1412e-05,1 02872U 67053F   25201.82240926  .00000065  00000+0  81412-4 0  9993,2 02872  69.9754 354.3043 0007305 207.2898 152.7826 13.99485119963845
2874,67053H,2025-07-20,1.2212784361197642,1.8379713286901886,0.0009997,4.675290261804298,1.6078269775344602,0.060944990576534484,96052,3.2838e-05,1 02874U 67053H   25201.92255192 -.00000008  00000+0  32838-4 0  9993,2 02874  69.9741 105.3080 0009997 267.8744  92.1217 13.96756297960527
2909,67053J,2025-07-20,1.2203569022747112,0.2722765992988714,0.0009194,3.180023058389456,3.1051449428203957,0.06674782571248172,3141,0.0025491000000000003,1 02909U 67053J   25201.98421495  .00074338  00000+0  25491-2 0  9990,2 02909  69.9213  15.6003 0009194 182.2019 177.9117 15.29747482 31414
5204,71039A,2025-07-21,0.011112511347447897,5.083620512283884,0.0020456,6.14218539289872,1.954484273565574,0.004283011106323604,2203,0.0,1 05204U 71039A   25202.13587098 -.00000026  00000+0  00000+0 0  9990,2 05204   0.6367 291.2700 0020456 351.9213 111.9837  0.98159384 22031
