NORAD_CAT_ID,OBJECT_DESIGNATOR,EPOCH,INCLINATION_RAD,RAAN_RAD,ECCENTRICITY,ARG_OF_PERIGEE_RAD,MEAN_ANOMALY_RAD,MEAN_MOTION_REV_PER_DAY,REV_NUM_AT_EPOCH,BSTAR,LINE1,LINE2
56887,23083M,2025-07-26,0.7505387022473655,4.005757526129746,0.0001402,4.857712075222746,1.4266652918359528,0.06556032362981148,11768,-3.4692e-05,1 56887U 23083M   25207.76019649 -.00000672  00000+0 -34692-4 0  9992,2 56887  43.0027 229.5130 0001402 278.3264  81.7419 15.02531939117684
56888,23083N,2025-07-26,0.7505491742228776,4.003321046493961,0.000142,4.875940293930574,1.4084353277988721,0.06556051688139292,11768,-3.0679000000000003e-06,1 56888U 23083N   25207.74243232 -.00000245  00000+0 -30679-5 0  9996,2 56888  43.0033 229.3734 0001420 279.3708  80.6974 15.02536368117689
56889,23083P,2025-07-26,0.7505352115888615,4.004724291212565,0.0001579,4.879884738040081,1.404459467762829,0.06556045444223893,11768,2.2533000000000003e-05,1 56889U 23083P   25207.75242489  .00000101  00000+0  22533-4 0  9999,2 56889  43.0025 229.4538 0001579 279.5968  80.4696 15.02534937117688
56890,23083Q,2025-07-26,0.7505387022473655,4.003453691517113,0.0001336,4.845433683934965,1.4389559004284969,0.06556048851979257,11768,-7.0593e-06,1 56890U 23083Q   25207.74354234 -.00000299  00000+0 -70593-5 0  9992,2 56890  43.0027 229.3810 0001336 277.6229  82.4461 15.02535718117684
56891,23083R,2025-07-26,0.7505299756011056,4.004287958899567,0.0001442,4.851926308752384,1.432442331660054,0.06556036848477326,11768,1.8884e-05,1 56891U 23083R   25207.74909560  .00000051  00000+0  18884-4 0  9999,2 56891  43.0022 229.4288 0001442 277.9949  82.0729 15.02532967117686
56892,23083S,2025-07-26,0.7505439382351216,4.034005680073274,0.0001464,4.848550841979027,1.435814307774907,0.06556040443855585,11763,2.2323e-06,1 56892U 23083S   25207.40338586 -.00000174  00000+0  22323-5 0  9998,2 56892  43.0030 231.1315 0001464 277.8015  82.2661 15.02533791117632
56893,23083T,2025-07-26,0.7505387022473655,4.0038359186233,0.0001477,4.884026404355064,1.4003370000696185,0.06556042093191729,11780,2.0362e-05,1 56893U 23083T   25207.74576388  .00000071  00000+0  20362-4 0  9995,2 56893  43.0027 229.4029 0001477 279.8341  80.2334 15.02534169117803
56894,23083U,2025-07-27,0.7505334662596096,3.9395938395158927,0.0001777,4.7957214708504114,1.4885791017211996,0.06556076349641622,11698,5.7267000000000006e-05,1 56894U 23083U   25208.40166347  .00000570  00000+0  57267-4 0  9998,2 56894  43.0024 225.7221 0001777 274.7746  85.2893 15.02542020116988
56895,23083V,2025-07-26,0.7505439382351216,4.021154820790839,0.0001491,4.850577169240593,1.4337827445255857,0.06556047342269454,11765,-7.2925e-06,1 56895U 23083V   25207.53412157 -.00000302  00000+0 -72925-5 0  9999,2 56895  43.0030 230.3952 0001491 277.9176  82.1497 15.02535372117657
56896,23083W,2025-07-27,0.7505421929058694,3.9384646114898523,0.00014,4.777351880473171,1.507023741256276,0.06556083278598752,11698,1.0254e-05,1 56896U 23083W   25208.39389743 -.00000065  00000+0  10254-4 0  9990,2 56896  43.0029 225.6574 0001400 273.7221  86.3461 15.02543608116981
56897,23083X,2025-07-26,0.7505195036255937,4.039883948993991,0.0001254,4.864998824849822,1.4194082128061605,0.06556051906305448,11774,1.6021e-05,1 56897U 23083X   25207.33357556  .00000013  00000+0  16021-4 0  9991,2 56897  43.0016 231.4683 0001254 278.7439  81.3261 15.02536418117746
56898,23083Y,2025-07-26,0.7505474288936255,3.9943640167727263,0.0001234,4.80280925294276,1.4816012753717263,0.06556046613594492,11780,5.0078000000000004e-05,1 56898U 23083Y   25207.78893164  .00000473  00000+0  50078-4 0  9991,2 56898  43.0032 228.8602 0001234 275.1807  84.8895 15.02535205117805
56899,23083Z,2025-07-26,0.7505352115888615,3.9948753982435607,0.0001322,4.892585499006844,1.391809321344374,0.06556041067810793,11780,5.497800000000001e-05,1 56899U 23083Z   25207.79226403  .00000539  00000+0  54978-4 0  9995,2 56899  43.0025 228.8895 0001322 280.3245  79.7448 15.02533934117808
